"","test3$TimeConverted","X_coord","Y_coord","hr","time"
"58",2019-12-05 23:12:58,-0.126240611076355,51.5072042942047,121,2019-12-05 23:12:58
"59",2019-12-05 23:12:59,-0.126225829124451,51.5071976184845,121,2019-12-05 23:12:59
"60",2019-12-05 23:13:00,-0.126205325126648,51.5071885585785,121,2019-12-05 23:13:00
"61",2019-12-05 23:13:01,-0.126183748245239,51.5071791410446,122,2019-12-05 23:13:01
"62",2019-12-05 23:13:02,-0.126164317131042,51.5071704387665,122,2019-12-05 23:13:02
"63",2019-12-05 23:13:03,-0.126146078109741,51.5071624517441,122,2019-12-05 23:13:03
"64",2019-12-05 23:13:04,-0.126128911972046,51.507155418396,122,2019-12-05 23:13:04
"65",2019-12-05 23:13:05,-0.126112580299377,51.5071487426758,122,2019-12-05 23:13:05
"66",2019-12-05 23:13:06,-0.126097440719604,51.5071427822113,123,2019-12-05 23:13:06
"67",2019-12-05 23:13:07,-0.126081347465515,51.507138133049,123,2019-12-05 23:13:07
"68",2019-12-05 23:13:08,-0.126063346862793,51.5071349143982,123,2019-12-05 23:13:08
"69",2019-12-05 23:13:09,-0.126043796539307,51.5071318149567,123,2019-12-05 23:13:09
"70",2019-12-05 23:13:10,-0.126018285751343,51.5071275234222,123,2019-12-05 23:13:10
"71",2019-12-05 23:13:11,-0.125999450683594,51.5071240663528,123,2019-12-05 23:13:11
"72",2019-12-05 23:13:12,-0.125985264778137,51.5071214437485,123,2019-12-05 23:13:12
"73",2019-12-05 23:13:13,-0.125971555709839,51.5071189403534,124,2019-12-05 23:13:13
"74",2019-12-05 23:13:14,-0.125954627990723,51.507115483284,124,2019-12-05 23:13:14
"75",2019-12-05 23:13:15,-0.12593400478363,51.507110953331,124,2019-12-05 23:13:15
"76",2019-12-05 23:13:16,-0.12590754032135,51.5071059465408,123,2019-12-05 23:13:16
"77",2019-12-05 23:13:17,-0.125890254974365,51.5071020126343,122,2019-12-05 23:13:17
"78",2019-12-05 23:13:18,-0.125880241394043,51.5070985555649,122,2019-12-05 23:13:18
"79",2019-12-05 23:13:19,-0.125873923301697,51.5070952177048,122,2019-12-05 23:13:19
"80",2019-12-05 23:13:20,-0.125867366790771,51.5070922374725,120,2019-12-05 23:13:20
"81",2019-12-05 23:13:21,-0.125856518745422,51.5070900917053,120,2019-12-05 23:13:21
"82",2019-12-05 23:13:22,-0.125838875770569,51.5070879459381,120,2019-12-05 23:13:22
"83",2019-12-05 23:13:23,-0.125813603401184,51.5070856809616,119,2019-12-05 23:13:23
"84",2019-12-05 23:13:24,-0.125795483589172,51.5070840120316,120,2019-12-05 23:13:24
"85",2019-12-05 23:13:25,-0.125778079032898,51.5070824623108,120,2019-12-05 23:13:25
"86",2019-12-05 23:13:26,-0.125755429267883,51.507080078125,120,2019-12-05 23:13:26
"87",2019-12-05 23:13:27,-0.125731587409973,51.5070780515671,121,2019-12-05 23:13:27
"88",2019-12-05 23:13:28,-0.125706315040588,51.5070756673813,121,2019-12-05 23:13:28
"89",2019-12-05 23:13:29,-0.125677466392517,51.5070741176605,121,2019-12-05 23:13:29
"90",2019-12-05 23:13:30,-0.125657796859741,51.5070735216141,120,2019-12-05 23:13:30
"91",2019-12-05 23:13:31,-0.125644326210022,51.5070732831955,120,2019-12-05 23:13:31
"92",2019-12-05 23:13:32,-0.125631093978882,51.5070731639862,120,2019-12-05 23:13:32
"93",2019-12-05 23:13:33,-0.125612616539001,51.5070729255676,120,2019-12-05 23:13:33
"94",2019-12-05 23:13:34,-0.12559175491333,51.5070723295212,119,2019-12-05 23:13:34
"95",2019-12-05 23:13:35,-0.125562787055969,51.5070707798004,118,2019-12-05 23:13:35
"96",2019-12-05 23:13:36,-0.125538229942322,51.5070683956146,118,2019-12-05 23:13:36
"97",2019-12-05 23:13:37,-0.125520586967468,51.5070661306381,120,2019-12-05 23:13:37
"98",2019-12-05 23:13:38,-0.125503659248352,51.5070633888245,121,2019-12-05 23:13:38
"99",2019-12-05 23:13:39,-0.125482082366943,51.50705909729,121,2019-12-05 23:13:39
"100",2019-12-05 23:13:40,-0.125455975532532,51.5070523023605,121,2019-12-05 23:13:40
"101",2019-12-05 23:13:41,-0.125422835350037,51.5070431232452,122,2019-12-05 23:13:41
"102",2019-12-05 23:13:42,-0.125394225120544,51.5070371627808,122,2019-12-05 23:13:42
"103",2019-12-05 23:13:43,-0.125369906425476,51.5070335865021,121,2019-12-05 23:13:43
"104",2019-12-05 23:13:44,-0.125352382659912,51.5070321559906,121,2019-12-05 23:13:44
"105",2019-12-05 23:13:45,-0.125334858894348,51.5070312023163,121,2019-12-05 23:13:45
